name,ind,movement,genre,date,detail,picture,,
Les Grandes Baigneuses,Paul Cézanne,Post impressionisme,,1900,,paul-cézanne---les-grandes-baigneuses,link,https://www.google.fr/search?q=Les+Grandes+Baigneuses+Paul+Cézanne
Mont Sainte-Victoire,Paul Cézanne,Post impressionisme,,1904,,paul-cézanne---mont-sainte-victoire,link,https://www.google.fr/search?q=Mont+Sainte-Victoire+Paul+Cézanne
Rue Du Mont Cenis sous la neige,Maurice Utrillo,Post impressionisme,,1917,,maurice-utrillo---rue-du-mont-cenis-sous-la-neige,link,https://www.google.fr/search?q=Rue+Du+Mont+Cenis+sous+la+neige+Maurice+Utrillo
Rue Du Mont Cenis In Montmartre,Maurice Utrillo,Post impressionisme,,1935,,maurice-utrillo---rue-du-mont-cenis-in-montmartre,link,https://www.google.fr/search?q=Rue+Du+Mont+Cenis+In+Montmartre+Maurice+Utrillo
terrasse à vernon,Pierre Bonnard,Post impressionisme,,1939,,pierre-bonnard---terrasse-à-vernon,link,https://www.google.fr/search?q=terrasse+à+vernon+Pierre+Bonnard
Le pont de Narni,Jean-Baptiste-Camille Corot,Réalisme,Pastoral,1826,,,link,https://www.google.fr/search?q=Le+pont+de+Narni+Jean-Baptiste-Camille+Corot
les glaneuses,Gustave Courbet,Réalisme,,1857,,gustave-courbet---les-glaneuses,link,https://www.google.fr/search?q=les+glaneuses+Gustave+Courbet
l'angelus,Jean-François Millet,Réalisme,,1858,,jean-françois-millet---l'angelus,link,https://www.google.fr/search?q=l'angelus+Jean-François+Millet
Olympe,Édouard Manet,Réalisme,,1863,,édouard-manet---olympe,link,https://www.google.fr/search?q=Olympe+Édouard+Manet
Déjeuner sur l'herbe,Édouard Manet,Réalisme,,1863,,édouard-manet---déjeuner-sur-l'herbe,link,https://www.google.fr/search?q=Déjeuner+sur+l'herbe+Édouard+Manet
